layer,depth,province
474,-3850.38012695313,non-categ_mpas
475,-4153.779296875,non-categ_mpas
476,-5532.3251953125,non-categ_mpas
477,-5603.966796875,non-categ_mpas
478,-5547.19091796875,non-categ_mpas
479,-5090.7177734375,non-categ_mpas
480,-5141.7958984375,non-categ_mpas
481,-5482.04833984375,non-categ_mpas
482,-5488.68896484375,non-categ_mpas
483,-5612.826171875,non-categ_mpas
484,-5844.83349609375,non-categ_mpas
485,-5887.13916015625,non-categ_mpas
486,-5980.9404296875,non-categ_mpas
487,-6006.16162109375,non-categ_mpas
488,-5921.00244140625,non-categ_mpas
489,-5341.93994140625,non-categ_mpas
490,-4629.91162109375,non-categ_mpas
491,-5293.4990234375,non-categ_mpas
492,-5204.52880859375,non-categ_mpas
493,-5357.2880859375,non-categ_mpas
494,-5395.56982421875,non-categ_mpas
495,-5248.3857421875,non-categ_mpas
496,-4448.33544921875,non-categ_mpas
497,-5234.81396484375,non-categ_mpas
498,-4621.310546875,non-categ_mpas
499,-3420.31372070313,non-categ_mpas
500,-3679.1142578125,non-categ_mpas
501,-4266.380859375,non-categ_mpas
502,-4269.693359375,non-categ_mpas
503,-5642.353515625,non-categ_mpas
504,-5538.39306640625,non-categ_mpas
505,-5118.25390625,non-categ_mpas
506,-5268.13232421875,non-categ_mpas
507,-5282.5712890625,non-categ_mpas
508,-5104.34716796875,non-categ_mpas
509,-5431.33251953125,non-categ_mpas
510,-5794.58447265625,non-categ_mpas
511,-5868.03857421875,non-categ_mpas
512,-5955.0078125,non-categ_mpas
513,-5978.91162109375,non-categ_mpas
514,-5946.91943359375,non-categ_mpas
515,-5789.59228515625,non-categ_mpas
516,-4820.28759765625,non-categ_mpas
517,-5058.82275390625,non-categ_mpas
518,-5464.60791015625,non-categ_mpas
519,-5316.1943359375,non-categ_mpas
520,-5403.83447265625,non-categ_mpas
521,-5538.40869140625,non-categ_mpas
522,-5489.55810546875,non-categ_mpas
523,-5313.13232421875,non-categ_mpas
524,-4650.55078125,non-categ_mpas
525,-3762.525390625,non-categ_mpas
526,-3569.64721679688,non-categ_mpas
527,-4562.85791015625,non-categ_mpas
528,-4616.94287109375,non-categ_mpas
529,-4464.6943359375,non-categ_mpas
530,-5707.26416015625,non-categ_mpas
531,-5521.00341796875,non-categ_mpas
532,-5308.74755859375,non-categ_mpas
533,-5199.56396484375,non-categ_mpas
534,-5294.080078125,non-categ_mpas
535,-5371.001953125,non-categ_mpas
536,-5510.2705078125,non-categ_mpas
537,-5793.23974609375,non-categ_mpas
538,-5783.6279296875,non-categ_mpas
539,-5910.833984375,non-categ_mpas
540,-5915.671875,non-categ_mpas
541,-5997.35302734375,non-categ_mpas
542,-5883.03271484375,non-categ_mpas
543,-5556.3125,non-categ_mpas
544,-5207.03955078125,non-categ_mpas
545,-5435.93994140625,non-categ_mpas
546,-5485.19482421875,non-categ_mpas
547,-5551.43798828125,non-categ_mpas
548,-5328.16162109375,non-categ_mpas
549,-5101.7197265625,non-categ_mpas
550,-4882.28759765625,non-categ_mpas
551,-5209.0234375,non-categ_mpas
552,-2985.03125,non-categ_mpas
553,-3480.31469726563,non-categ_mpas
554,-4349.326171875,non-categ_mpas
555,-4412.80419921875,non-categ_mpas
556,-4533.02099609375,non-categ_mpas
557,-3584.83422851563,non-categ_mpas
558,-5595.04248046875,non-categ_mpas
559,-5338.1259765625,non-categ_mpas
560,-5237.96533203125,non-categ_mpas
561,-5354.1845703125,non-categ_mpas
562,-5342.666015625,non-categ_mpas
563,-5427.30810546875,non-categ_mpas
564,-5609.5185546875,non-categ_mpas
565,-5733.54541015625,non-categ_mpas
566,-5819.73388671875,non-categ_mpas
567,-5863.91552734375,non-categ_mpas
568,-5863.39697265625,non-categ_mpas
569,-5941.16845703125,non-categ_mpas
570,-5814.6044921875,non-categ_mpas
571,-5406.89111328125,non-categ_mpas
572,-5452.9833984375,non-categ_mpas
573,-5533.63525390625,non-categ_mpas
574,-5222.7890625,non-categ_mpas
575,-5248.1513671875,non-categ_mpas
576,-5215.07958984375,non-categ_mpas
577,-5568.69189453125,non-categ_mpas
578,-4574.693359375,non-categ_mpas
579,-4293.6650390625,non-categ_mpas
580,-3794.421875,non-categ_mpas
581,-4115.10693359375,non-categ_mpas
582,-4635.716796875,non-categ_mpas
583,-4554.6591796875,non-categ_mpas
584,-4635.0947265625,non-categ_mpas
585,-4704.494140625,non-categ_mpas
586,-5680.4912109375,non-categ_mpas
587,-5375.92431640625,non-categ_mpas
588,-5045.6025390625,non-categ_mpas
589,-5358.6982421875,non-categ_mpas
590,-5327.32568359375,non-categ_mpas
591,-5402.19140625,non-categ_mpas
592,-5471.19287109375,non-categ_mpas
593,-5633.34326171875,non-categ_mpas
594,-5748.59423828125,non-categ_mpas
595,-5800.681640625,non-categ_mpas
596,-5759.45068359375,non-categ_mpas
597,-5842.2685546875,non-categ_mpas
598,-5881.40673828125,non-categ_mpas
599,-5665.32666015625,non-categ_mpas
600,-5476.76318359375,non-categ_mpas
601,-5581.46337890625,non-categ_mpas
602,-5408.03955078125,non-categ_mpas
603,-5083.029296875,non-categ_mpas
604,-5632.90380859375,non-categ_mpas
605,-5538.984375,non-categ_mpas
606,-5373.6923828125,non-categ_mpas
607,-5175.68408203125,non-categ_mpas
608,-3451.40356445313,non-categ_mpas
609,-3867.39697265625,non-categ_mpas
610,-4741.3740234375,non-categ_mpas
611,-4615.6865234375,non-categ_mpas
612,-4736.3623046875,non-categ_mpas
613,-4020.10009765625,non-categ_mpas
614,-4745.61962890625,non-categ_mpas
615,-5511.82177734375,non-categ_mpas
616,-5407.61474609375,non-categ_mpas
617,-5394.06005859375,non-categ_mpas
618,-5289.85107421875,non-categ_mpas
619,-5387.46630859375,non-categ_mpas
620,-5366.99462890625,non-categ_mpas
621,-5470.68359375,non-categ_mpas
622,-5702.01806640625,non-categ_mpas
623,-5784.78173828125,non-categ_mpas
624,-5685.072265625,non-categ_mpas
625,-5768.06689453125,non-categ_mpas
626,-5846.8828125,non-categ_mpas
627,-5845.57080078125,non-categ_mpas
628,-5484.3623046875,non-categ_mpas
629,-5463.65185546875,non-categ_mpas
630,-5184.615234375,non-categ_mpas
631,-4678.34765625,non-categ_mpas
632,-5641.70751953125,non-categ_mpas
633,-5581.0263671875,non-categ_mpas
634,-5594.931640625,non-categ_mpas
635,-4869.10693359375,non-categ_mpas
636,-4949.515625,non-categ_mpas
637,-3540.59497070313,non-categ_mpas
638,-4461.7734375,non-categ_mpas
639,-4872.24658203125,non-categ_mpas
640,-4829.08154296875,non-categ_mpas
641,-4828.38330078125,non-categ_mpas
642,-5072.54345703125,non-categ_mpas
643,-5259.2001953125,non-categ_mpas
644,-5709.1708984375,non-categ_mpas
645,-5454.6142578125,non-categ_mpas
646,-5385.8193359375,non-categ_mpas
647,-5335.587890625,non-categ_mpas
648,-5348.0576171875,non-categ_mpas
649,-5369.30859375,non-categ_mpas
650,-5450.5078125,non-categ_mpas
651,-5618.60986328125,non-categ_mpas
652,-5806.998046875,non-categ_mpas
653,-5661.4990234375,non-categ_mpas
654,-5603.5185546875,non-categ_mpas
655,-5765.654296875,non-categ_mpas
656,-5851.7333984375,non-categ_mpas
657,-5723.1357421875,non-categ_mpas
658,-5478.99072265625,non-categ_mpas
659,-5397.97216796875,non-categ_mpas
660,-5479.42138671875,non-categ_mpas
661,-5604.43798828125,non-categ_mpas
662,-5603.611328125,non-categ_mpas
663,-5644.89599609375,non-categ_mpas
664,-5622.52978515625,non-categ_mpas
665,-4803.08642578125,non-categ_mpas
666,-4061.36669921875,non-categ_mpas
667,-3202.04296875,non-categ_mpas
668,-4891.51171875,non-categ_mpas
669,-4785.18115234375,non-categ_mpas
670,-4945.99072265625,non-categ_mpas
671,-4945.35546875,non-categ_mpas
672,-5157.92041015625,non-categ_mpas
673,-5341.13916015625,non-categ_mpas
674,-5532.55615234375,non-categ_mpas
675,-5512.45458984375,non-categ_mpas
676,-5326.9677734375,non-categ_mpas
